count = 110477
raw 10
platform/uv 9
topology 9
umh 9
acpi / battery 9
powerpc/powernv/idle 9
inet_diag 9
macvlan 9
head/64 9
b43 9
mm/damon/schemes 9
switchtec 9
counter 9
ath6kl 9
mm/memcontrol 9
drivers core 9
s390/boot 9
cxgb4/cxgb4vf 9
stacktrace 9
signal/powerpc 9
x86/irq/64 9
perf/x86/uncore 9
igb/igc 9
udp6 9
vdpasim 9
tool 9
vgaarb 9
sched/membarrier 9
mm/kmemleak 9
mm/swap 9
mm/damon/core 9
mm/mmu_notifiers 9
vringh 9
kdump 9
x86/tsc 9
qed* 9
iocost 9
igbvf 9
mm/swap.c 9
netlabel 9
bpf, arm64 9
neigh 9
powerpc/powernv/ioda 9
selftests/powerpc/pmu 9
pci/portdrv 9
i40iw 9
slab 9
bpf, doc 9
netpoll 9
uprobes 9
vhost/vsock 9
trace/osnoise 9
mm/mremap 9
perf/x86/amd/ibs 9
mm/page_isolation 9
rhel-only 9
mm/memory.c 9
linux/dim 9
kthread 9
io-pgtable 9
x86/traps 9
x86/alternatives 9
perf jvmti 9
x86/microcode 9
iova 9
uas 9
drm/amdgpu/display 9
drm/i915/selftests 9
vmbus 9
neighbour 9
rhel 9
pie 9
docs/mm 9
vfio iommu 9
cfg80211/mac80211 8
x86/ldt 8
sched/vtime 8
xfrm interface 8
erspan 8
x86/kvm/mmu 8
perf unwind 8
s390/protvirt 8
certs 8
netem 8
filemap 8
dm era 8
rdma/ocrdma 8
kvm/mmu 8
mm/slab 8
ibmveth 8
rdma/iwcm 8
s390/mem_detect 8
ip6_vti 8
kvm/hyper-v 8
drivers/base/memory.c 8
time/sched_clock 8
quirks 8
drm/nouveau/disp/dp 8
refscale 8
spec 8
clocksource 8
libnvdimm/security 8
powerpc/cacheinfo 8
x86/process 8
md/bitmap 8
pci/link 8
vmware 8
socket 8
mm/khugepaged 8
kvm_stat 8
x86/entry 8
perf util 8
powerpc/mce 8
x86/unwind/orc 8
staging 8
device connection 8
x86/gpu 8
uapi 8
x86/ima 8
s390/setup 8
arm_pmu 8
rfkill 8
